Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
29-01-2016,106.9499969,107,106.2600021,106.6100006,8098700,106.9499969,,,,,,2016,1,4,1
01-02-2016,108.0500031,108.1500015,107.5299988,107.5400009,10471800,108.0500031,1.028523735,,,,,2016,2,0,1
02-02-2016,108.0899963,108.1800003,107.3499985,107.9199982,6656000,108.0899963,0.037013683,,,,,2016,2,1,1
03-02-2016,109.25,109.5800018,107.9000015,107.9100037,15785200,109.25,1.073183182,,,,,2016,2,2,1
04-02-2016,110.5699997,110.6999969,109.9199982,110.4499969,13213700,110.5699997,1.208237707,,,,,2016,2,3,1
05-02-2016,112.3199997,112.3499985,109.5800018,109.7900009,14777300,112.3199997,1.582707791,,,,,2016,2,4,1
08-02-2016,113.8300018,114.8700027,113.3899994,113.6699982,28341200,113.8300018,1.344375125,,,,,2016,2,0,1
09-02-2016,113.5800018,114.6900024,113.5500031,114.4300003,18156700,113.5800018,-0.219625754,,,,,2016,2,1,1
10-02-2016,114.4599991,114.5199966,112.9800034,113.9199982,13311100,114.4599991,0.774781862,,,,,2016,2,2,1
11-02-2016,119.0599976,120.8399963,117.7699966,118.5899963,49139000,119.0599976,4.01886992,,,,,2016,2,3,1
12-02-2016,118.3600006,118.7399979,117.8799973,118.1200027,16981200,118.3600006,-0.587936303,,,,,2016,2,4,1
16-02-2016,114.7699966,116.3099976,114.7399979,116,14601700,114.7699966,-3.033122633,,,,,2016,2,1,1
17-02-2016,115.4800034,116.0699997,114.8899994,115.4700012,10582400,115.4800034,0.618634429,,,,,2016,2,2,1
18-02-2016,118.2900009,118.5999985,115.2900009,115.3000031,13586500,118.2900009,2.433319602,,,,,2016,2,3,1
19-02-2016,117.5800018,117.9700012,117.0999985,117.2600021,15192000,117.5800018,-0.60021902,,,,,2016,2,4,1
22-02-2016,115.4899979,116.1900024,115.4100037,115.4400024,10677800,115.4899979,-1.777516529,,,,,2016,2,0,1
23-02-2016,117.2200012,117.4199982,116.5199966,116.6800003,9033400,117.2200012,1.497968126,,,,,2016,2,1,1
24-02-2016,117.6100006,119.8600006,117.3499985,119,17938800,117.6100006,0.332707205,,,,,2016,2,2,1
25-02-2016,117.9199982,118.9100037,117.5400009,117.6200027,12500300,117.9199982,0.263580951,,,,,2016,2,3,1
26-02-2016,117.1100006,117.7200012,115.8600006,117.4300003,12505100,117.1100006,-0.686904317,114.2994999,,,,2016,2,4,1
29-02-2016,118.6399994,118.6999969,117.5299988,117.5899963,11517500,118.6399994,1.306462959,114.884,,,1.506491664,2016,2,0,1
01-03-2016,117.7699966,119.1100006,117.3399963,118.7399979,14139300,117.7699966,-0.733313175,115.3699997,,,1.527221531,2016,3,1,1
02-03-2016,118.6800003,118.9700012,118.0699997,118.3399963,8903000,118.6800003,0.772695668,115.8994999,,,1.52579607,2016,3,2,1
03-03-2016,120.7300034,121.3000031,118.8099976,118.8600006,18724100,120.7300034,1.727336574,116.4735001,,,1.546070277,2016,3,3,1
04-03-2016,120.5400009,122.3700027,120.2200012,121.1299973,16261100,120.5400009,-0.157377981,116.9720001,,,1.543864299,2016,3,4,1
07-03-2016,121.1399994,121.5800018,120.4100037,121.1800003,9358600,121.1399994,0.49775881,117.4130001,,,1.520628712,2016,3,0,1
08-03-2016,120.5800018,121.8799973,120.4700012,121.7900009,11531000,120.5800018,-0.462273041,117.7505001,,,1.514576562,2016,3,1,1
09-03-2016,119.5800018,120.3899994,118.8399963,119.1999969,8672900,119.5800018,-0.829324917,118.0505001,,,1.531611023,2016,3,2,1
10-03-2016,121.5,121.7600021,120.4199982,120.5,18104900,121.5,1.605618113,118.4025002,,,1.557111937,2016,3,3,1
11-03-2016,119.4100037,121.3899994,119.3600006,121.1900024,10812300,119.4100037,-1.720161595,118.4200005,,,1.353171069,2016,3,4,1
14-03-2016,117.8700027,120.3099976,117.5,120.2699966,14236200,117.8700027,-1.289674959,118.3955006,,,1.378713629,2016,3,0,1
15-03-2016,117.9599991,118.0400009,117.3600006,117.7799988,9941800,117.9599991,0.076352198,118.5550007,,,1.181244448,2016,3,1,1
16-03-2016,120.5899963,120.7600021,117.3399963,117.4199982,17334000,120.5899963,2.229567034,118.8105003,,,1.267128644,2016,3,2,1
