iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,weekly_icu_admissions_per_million,weekly_hosp_admissions,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
AFG,Asia,Afghanistan,05-01-2020,0,0,,0,0,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,06-01-2020,0,0,,0,0,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,07-01-2020,0,0,,0,0,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,08-01-2020,0,0,,0,0,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,09-01-2020,0,0,,0,0,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,10-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,11-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,12-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,13-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,14-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,15-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,16-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,17-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,18-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,19-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,20-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,21-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,22-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,23-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,24-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,25-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,26-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,27-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,28-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,29-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,30-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,31-01-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
AFG,Asia,Afghanistan,01-02-2020,0,0,0,0,0,0,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59
